instance,mode_arret,nb_iteration,duree_tabou,fitness,solution,temps,gap,nb_villes,duree_seconde
data/a280.tsp,iteration,1000,30,5495,"0-3-276-275-259-258-257-254-228-227-208-266-38-47-52-51-50-49-48-45-44-43-56-57-63-62-61-41-40-39-16-15-270-260-240-239-238-237-236-231-230-229-209-141-145-142-203-211-212-215-195-196-192-161-172-105-104-102-103-107-109-111-87-88-108-89-90-91-101-168-100-99-167-166-187-193-194-220-221-219-113-64-65-66-68-67-55-54-53-46-37-36-35-34-33-124-123-136-137-149-177-150-151-154-153-128-129-130-13-14-12-11-10-9-7-6-4-5-8-274-261-265-180-181-160-98-97-106-175-176-135-267-268-134-152-119-110-79-92-93-96-95-94-77-76-75-78-80-81-82-83-86-112-115-85-84-74-73-72-71-70-69-58-22-23-17-131-182-183-184-186-188-189-190-191-222-223-224-225-226-210-204-140-147-155-120-121-122-42-59-60-117-116-114-118-156-157-158-159-174-173-169-170-171-165-164-163-162-185-197-198-144-143-205-252-253-255-277-278-2-279-1-247-251-207-202-199-200-201-216-218-217-214-213-206-262-269-133-132-18-19-20-127-126-125-29-30-32-31-28-27-26-25-21-24-271-272-273-248-249-250-232-233-234-235-245-244-243-246-256-263-264-139-138-148-178-179-146-242-241",9.43136,113.067,280,60
data/berlin52.tsp,iteration,1000,30,9276,"0-21-30-20-41-6-1-29-15-43-45-47-3-11-50-32-8-9-42-39-38-36-37-23-4-14-5-24-27-10-51-13-12-26-25-46-28-49-19-22-17-16-2-40-7-18-44-31-48-35-34-33",0.0800797,22.9912,52,60
data/eil76.tsp,iteration,1000,30,609,"0-15-2-43-8-38-71-30-9-57-11-25-66-3-26-51-33-45-7-34-6-52-10-37-64-65-58-13-18-53-12-56-14-19-36-4-28-44-75-16-39-31-49-24-54-17-23-48-22-55-62-32-50-5-74-67-1-29-47-46-35-69-59-70-68-60-20-73-27-61-72-21-63-41-40-42",0.220539,13.197,76,60
data/kroA100.tsp,iteration,1000,30,167116,"0-41-10-15-26-19-32-79-59-90-73-31-40-22-67-70-83-8-66-39-37-2-78-96-49-72-77-86-47-1-57-16-6-29-85-88-43-71-33-54-98-7-35-55-62-58-97-5-14-20-17-46-93-34-44-65-18-75-89-82-68-11-27-23-12-56-94-92-64-45-30-61-4-91-52-48-38-63-80-60-76-81-69-13-9-21-87-50-74-42-25-84-3-28-24-51-36-95-99-53",0.489617,685.246,100,60
