instance,mode_arret,nb_generation,taille_population,taux_croisement,taux_mutation,fitness,solution,temps,gap,croisement,2opt,mutation,duree_seconde,nb_generations_effectuees
data/a280.tsp,generation,600,100,0.8,0.5,2698,"0-1-241-242-240-239-238-237-236-231-230-245-244-243-246-249-250-229-228-232-235-234-233-227-226-225-224-223-222-221-220-219-218-217-216-215-214-213-212-211-210-209-208-251-252-207-206-205-204-203-202-201-200-199-198-144-143-142-145-146-148-149-178-179-175-180-181-182-183-184-186-185-192-196-197-195-194-193-191-190-189-188-187-164-163-162-161-160-174-159-173-106-104-105-172-169-171-170-165-166-167-168-99-100-101-102-103-107-108-89-90-91-98-97-96-95-94-93-92-79-78-75-77-76-74-73-72-71-70-69-66-68-67-57-56-55-54-53-52-51-50-49-48-47-46-45-44-43-58-62-63-64-65-84-85-115-86-83-82-81-80-88-87-111-109-110-113-112-114-116-117-61-60-59-42-41-40-39-38-34-37-36-35-33-32-31-30-29-124-123-122-121-120-119-118-156-157-158-176-177-150-151-155-152-154-153-128-127-126-125-28-27-26-25-21-24-22-23-13-14-12-11-10-9-7-8-6-5-4-3-276-275-274-273-272-271-270-15-16-17-18-19-20-129-130-131-132-133-269-268-134-135-267-266-136-137-265-138-147-141-140-139-264-263-262-261-260-259-258-257-256-253-254-255-248-247-277-278-2-279",0.23291,4.61419,1x,2opt,tabou,60,600
data/berlin52.tsp,generation,600,100,0.8,0.5,7542,"0-21-30-17-2-16-20-41-6-1-29-22-19-49-28-15-45-43-33-34-35-38-39-36-37-47-23-4-14-5-3-24-11-27-26-25-46-12-13-51-10-50-32-42-9-8-7-40-18-44-31-48",0.00902261,0,1x,2opt,tabou,60,600
data/eil76.tsp,generation,600,100,0.8,0.5,544,"0-42-41-63-40-55-22-48-23-17-49-24-54-30-9-37-64-65-10-52-13-58-18-53-12-56-14-36-19-69-59-70-68-35-46-20-60-21-61-27-73-1-29-47-4-28-44-26-51-33-45-7-34-6-25-75-66-3-74-67-5-50-16-39-11-57-71-38-8-31-43-2-15-62-32-72",0.0165385,1.11524,1x,2opt,tabou,60,600
data/kroA100.tsp,generation,600,100,0.8,0.5,21441,"0-62-5-48-89-18-74-91-7-41-88-30-79-55-96-3-64-25-65-69-21-93-15-87-52-78-17-23-37-98-35-83-9-71-20-73-58-16-14-10-46-31-44-90-97-22-76-59-61-34-85-26-11-19-56-50-86-8-6-54-82-33-28-45-42-2-13-70-40-99-47-29-38-95-77-51-4-36-32-75-12-94-81-84-67-72-49-43-1-53-39-63-68-80-24-60-57-66-27-92",0.0240998,0.74711,1x,2opt,tabou,60,600
